name,url,icon,current,mod_version,game_version
Amands's Graphics,https://forge.sp-tarkov.com/mod/592/amandss-graphics,https://forge-static.sp-tarkov.com/mods/813.png,false,1.6.5,3.11.4
LootValue,https://forge.sp-tarkov.com/mod/1155/lootvalue,https://forge-static.sp-tarkov.com/mods/1606.png,false,5.0.2,3.11.4
Fontaine's Always Level Endurance (ALE),https://forge.sp-tarkov.com/mod/697/fontaines-always-level-endurance-ale,https://forge-static.sp-tarkov.com/mods/937.jpg,false,1.7.0,3.11.4
Ram Cleaner Fix,https://forge.sp-tarkov.com/mod/1311/ram-cleaner-fix,https://forge-static.sp-tarkov.com/mods/1827.png,false,1.2.3,4.0.1
MOAR + Bagels - Ultra lite spawn mod,https://forge.sp-tarkov.com/mod/789/moar-bagels-ultra-lite-spawn-mod,https://forge-static.sp-tarkov.com/mods/1059.webp,false,3.1.6,3.11.4
UI Fixes,https://forge.sp-tarkov.com/mod/1342/ui-fixes,https://forge-static.sp-tarkov.com/mods/1860.png,true,5.0.3,4.0.1
Dynamic Maps,https://forge.sp-tarkov.com/mod/1431/dynamic-maps,https://forge-static.sp-tarkov.com/mods/1981.png,true,1.0.2,4.0.1
More Tag Colours,https://forge.sp-tarkov.com/mod/1533/more-tag-colours,https://forge-static.sp-tarkov.com/mods/2100.png,false,1.4.0,4.0.1
SAIN - Solarint's AI Modifications - Full AI Combat System Replacement,https://forge.sp-tarkov.com/mod/791/sain-solarints-ai-modifications-full-ai-combat-system-replacement,https://forge-static.sp-tarkov.com/mods/1062.jpg,true,4.2.0,4.0.0
Looting Bots,https://forge.sp-tarkov.com/mod/812/looting-bots,https://forge-static.sp-tarkov.com/mods/1096.png,false,1.6.0,3.11.4
Waypoints - Expanded Navmesh,https://forge.sp-tarkov.com/mod/827/waypoints-expanded-navmesh,https://forge-static.sp-tarkov.com/mods/1119.png,false,1.7.1,3.11.4
MoreCheckmarks,https://forge.sp-tarkov.com/mod/861/morecheckmarks,https://forge-static.sp-tarkov.com/mods/1159.png,false,1.5.17,3.11.4
Gilded Key Storage,https://forge.sp-tarkov.com/mod/865/gilded-key-storage,https://forge-static.sp-tarkov.com/mods/1166.png,false,2.0.3,4.0.1
BigBrain,https://forge.sp-tarkov.com/mod/902/bigbrain,https://placehold.co/144x144/31343C/EEE?font=source-sans-pro&text=BigBrain,true,1.4.0,4.0.1
Use Loose Loot,https://forge.sp-tarkov.com/mod/933/use-loose-loot,https://forge-static.sp-tarkov.com/mods/1264.png,false,1.5.0,4.0.1
That's Lit - Logical AI Vision,https://forge.sp-tarkov.com/mod/1055/thats-lit-logical-ai-vision,https://forge-static.sp-tarkov.com/mods/1453.png,false,1.3100.3,3.10.5
Questing Bots,https://forge.sp-tarkov.com/mod/1109/questing-bots,https://forge-static.sp-tarkov.com/mods/1534.jpg,false,0.10.3,3.11.4
Live Flea Prices,https://forge.sp-tarkov.com/mod/1131/live-flea-prices,https://forge-static.sp-tarkov.com/mods/1561.png,false,2.0.1,4.0.1
Expanded Task Text,https://forge.sp-tarkov.com/mod/2389/expanded-task-text,https://forge-static.sp-tarkov.com/mods/AP38WtYr3Z9Fu40V12EMppHNcMgIDhbirY0i1Lpr.jpg,false,2.0.1,4.0.1
Project Fika,https://forge.sp-tarkov.com/mod/2326/project-fika,https://forge-static.sp-tarkov.com/mods/RhGQs4svMQ3MWGiEwn8WUQXxP3GUdVhLorptQcXA.png,true,2.0.2,4.0.1
Make Marked Room Loot Great Again,https://forge.sp-tarkov.com/mod/2100/make-marked-room-loot-great-again,https://forge-static.sp-tarkov.com/mods/2785.png,false,1.0.4,3.11.4
NerfBotGrenades,https://forge.sp-tarkov.com/mod/1925/nerfbotgrenades,https://forge-static.sp-tarkov.com/mods/2596.png,false,1.2.0,4.0.0
Tarkov HD Item Rework Project,https://forge.sp-tarkov.com/mod/1896/tarkov-hd-item-rework-project,https://forge-static.sp-tarkov.com/mods/2558.jpg,false,0.43.5,4.0.1
MergeConsumables,https://forge.sp-tarkov.com/mod/1657/mergeconsumables,https://forge-static.sp-tarkov.com/mods/2262.png,false,1.3.1,3.11.4
Headshot Darkness,https://forge.sp-tarkov.com/mod/1582/headshot-darkness,https://forge-static.sp-tarkov.com/mods/2164.png,false,1.2.2,3.11.4
Increase Climb Height,https://forge.sp-tarkov.com/mod/1575/increase-climb-height,https://forge-static.sp-tarkov.com/mods/2154.png,false,1.4.0,3.11.4
Bosses Have Lega Medals,https://forge.sp-tarkov.com/mod/1539/bosses-have-lega-medals,https://forge-static.sp-tarkov.com/mods/2109.png,false,2.0.0,4.0.1
Ref - SPT Friendly Quests,https://forge.sp-tarkov.com/mod/1538/ref-spt-friendly-quests,https://forge-static.sp-tarkov.com/mods/2108.png,true,2.0.1,4.0.1
